load,L,seed,rho_hat,ic_slack,ic_slack_pct,best_multiplier,strategic_rho,regret,learned_reward,best_fixed_reward,truthful_utility,theory_rho_T_over_L,theory_sqrt_LT
1.2,120,6282,0.48333333333333334,0.0,0.0,1.0,0.48333333333333334,186.33258871198632,-147861.04833685924,-147674.71574814725,1282906.5536954089,9.666666666666666,536.6563145999495
1.2,240,6402,0.59625,0.0,0.0,1.0,0.59625,3482.855436425132,-142759.60405909922,-139276.7486226741,1334451.1720778784,5.9624999999999995,758.946638440411
0.6,30,7132,0.0125,0.0,0.0,1.0,0.0125,3100.360548897457,-128447.52870966938,-125347.16816077192,435167.962095267,1.0,268.32815729997475
0.6,60,7162,0.04833333333333333,0.0,0.0,1.0,0.04833333333333333,1741.0137905526644,-114006.90527735447,-112265.8914868018,420681.01623360964,1.9333333333333333,379.4733192202055
0.6,120,7222,0.1,0.0,0.0,1.0,0.1,729.8113864077022,-129747.51959313618,-129017.70820672848,556127.4054294986,2.0,536.6563145999495
0.6,240,7342,0.1,0.0,0.0,1.0,0.1,1514.2388158037938,-132418.25565097842,-130904.01683517463,479444.75106901507,1.0,758.946638440411
0.9,30,7162,0.25375,0.0,0.0,1.0,0.25375,3532.2850788356736,-143085.74968014396,-139553.46460130828,836474.3105837136,20.299999999999997,268.32815729997475
0.9,60,7192,0.16916666666666666,0.0,0.0,1.0,0.16916666666666666,1447.8057189966785,-142438.18270198352,-140990.37698298684,753244.5303514933,6.766666666666667,379.4733192202055
0.9,120,7252,0.2675,0.0,0.0,1.0,0.2675,3295.2098298151104,-136357.29288005852,-133062.0830502434,901356.459234377,5.35,536.6563145999495
0.9,240,7372,0.18958333333333333,0.0,0.0,1.0,0.18958333333333333,2035.3866469668574,-136849.3519691145,-134813.96532214765,667620.9074349887,1.8958333333333333,758.946638440411
1.2,30,7192,0.6004166666666667,2283.727087822277,0.16515371840039053,1.05,0.6175,518.4430378995021,-147643.49970696968,-147125.05666907018,1382788.7800174875,48.03333333333333,268.32815729997475
1.2,60,7222,0.6329166666666667,5165.461618445348,0.3364607054855596,0.9,0.5866666666666667,801.5992148682126,-147613.0860386694,-146811.48682380118,1535234.7344665013,25.316666666666666,379.4733192202055
1.2,120,7282,0.7,0.0,0.0,1.0,0.7,1047.689911821246,-144592.99832099135,-143545.3084091701,1243789.2769530055,14.0,536.6563145999495
1.2,240,7402,0.7016666666666667,644.283814461669,0.049509751057398604,0.95,0.6695833333333333,5955.149301171186,-148921.38235248782,-142966.23305131664,1301327.1137532592,7.016666666666667,758.946638440411
0.6,30,8132,0.0125,0.0,0.0,1.0,0.0125,257.5565298968868,-135481.61557688823,-135224.05904699134,429269.48169295973,1.0,268.32815729997475
0.6,60,8162,0.05,0.0,0.0,1.0,0.05,56.95010981679661,-115369.22704612075,-115312.27693630396,502157.99626926455,2.0,379.4733192202055
0.6,120,8222,0.05,0.0,0.0,1.0,0.05,7836.869734537424,-116223.07790834144,-108386.20817380401,376588.36944683746,1.0,536.6563145999495
0.6,240,8342,0.0,0.0,0.0,1.0,0.0,0.0,-109833.15914101683,-109833.15914101683,427193.8171321023,0.0,758.946638440411
0.9,30,8162,0.24833333333333332,11318.977191747865,1.24299180689389,1.1,0.3566666666666667,2389.6266271892528,-139274.9355198005,-136885.30889261124,910623.6363723777,19.866666666666667,268.32815729997475
0.9,60,8192,0.2125,598.2217201651074,0.06575077922912237,1.05,0.2,3345.916395133885,-138596.75826168474,-135250.84186655085,909832.1376245269,8.5,379.4733192202055
0.9,120,8252,0.45,0.0,0.0,1.0,0.45,1680.841716156283,-137724.6237839759,-136043.78206781961,1159421.9715861925,9.0,536.6563145999495
0.9,240,8372,0.3,0.0,0.0,1.0,0.3,6077.885292500345,-142463.44503135432,-136385.55973885398,772869.1295593277,3.0,758.946638440411
