load,L,rho_hat,strategic_rho_hat,truthful_reward_per_slot,strategic_reward_per_slot,truthful_utility,strategic_utility,raw_strategic_gain,ic_slack,theory_rho_T_over_L,mean_delay_ms,sla_violation_rate,throughput_mbps,wasted_prbs,seed
1.15,240,0.17375,0.40374999999999994,-13.906683147439587,-16.30639091185379,718810.8236820765,526526.0458253378,0.0,0.0,1.7374999999999998,9.54227089812535,0.4491666666666666,19.460883402696798,3.066515937032734,0
0.55,30,0.0,0.0,-5.102109058612896,-5.2509370876835755,195958.37437652986,215778.32197998013,19819.947603450273,0.0,0.0,1.4368017833414732,0.14097222222222222,9.475860310921313,1.3046620734265237,1
0.55,60,0.0,0.0,-4.460661817877568,-4.532838959561202,185589.97671921097,195581.59278090627,9991.616061695298,0.0,0.0,1.3284971735191313,0.12263888888888888,9.297422797140605,2.3922938316995817,1
0.55,120,0.0,0.0,-2.951328464035156,-3.3487229705367203,192908.39963135446,246614.67507723425,53706.275445879786,0.0,0.0,1.376021791552459,0.11152777777777781,9.129508898392848,2.951084324187094,1
0.55,240,0.0,0.0,-6.31822089142099,-6.421408520069765,212516.6623057992,244016.67172710213,31500.009421302937,0.0,0.0,2.3173368672052943,0.19041666666666668,9.681429007532921,4.636187248782209,1
0.85,30,0.021249999999999998,0.004583333333333333,-7.646250080326148,-14.242118334372323,488309.84833274694,499957.1839784094,11647.335645662446,247.50588247032695,1.6999999999999997,2.6267152435686505,0.24763888888888888,14.720674686818779,1.4665334843604185,1
0.85,60,0.0016666666666666666,0.025,-8.395974732834759,-16.565340147396117,448150.89048712864,480180.6307660952,32029.74027896655,800.7435069741638,0.06666666666666667,3.2439615788551732,0.23583333333333334,14.598323633069594,1.9157789157002383,1
0.85,120,0.0,0.0,-13.585004633400255,-19.284538262190413,490892.8901199514,510537.8259220197,19644.93580206833,0.0,0.0,13.861562802952545,0.42708333333333337,14.719642895130011,2.5467966661560433,1
0.85,240,0.0,0.0,-11.611394471981937,-18.283088385186133,522807.62214478024,526254.4850255258,3446.8628807455534,0.0,0.0,11.818499194633857,0.41208333333333336,14.641331207152387,1.245591817901289,1
1.15,30,0.09916666666666665,0.12833333333333333,-10.627199529315433,-20.596298464873314,750766.588165091,710854.1018559674,0.0,0.0,7.933333333333333,4.158301360242455,0.2890277777777778,19.804713475370495,0.9736315090042794,1
1.15,60,0.16,0.004583333333333333,-10.231945356944177,-20.17597293998815,826072.7313474307,820126.0349161355,0.0,0.0,6.4,5.393277936266507,0.32333333333333336,20.011906862226,1.8298366374884545,1
1.15,120,0.10666666666666665,0.052500000000000005,-16.696825294396803,-23.015854270930316,672208.0825512564,676472.2074703047,4264.124919048278,454.8399913651495,2.133333333333333,14.88535848010435,0.42791666666666667,19.22442666811642,3.204568842620939,1
1.15,240,0.13999999999999999,0.08708333333333333,-19.86384465079406,-24.984019665839053,788887.4596305103,744382.5314127139,0.0,0.0,1.3999999999999997,22.108367328370225,0.5695833333333333,20.020803036991943,2.5604334011329666,1
0.55,30,0.0,0.0,-4.132533383825069,-5.543727452134273,237111.90924817917,289793.15034071205,52681.24109253287,0.0,0.0,1.7148260240158877,0.1376388888888889,9.655330246702562,1.6699085918117784,2
0.55,60,0.0,0.0,-6.860068345238542,-7.024199448588545,204028.2674837748,244833.35908665383,40805.09160287902,0.0,0.0,1.9828126386983058,0.18694444444444444,9.78116730178986,1.525067883052084,2
0.55,120,0.0,0.0,-5.270666970287764,-5.401317424260859,192860.09402954124,216225.42463447974,23365.3306049385,0.0,0.0,2.100756889557624,0.16305555555555554,9.000757158714585,2.584008849231996,2
0.55,240,0.0,0.0,-2.971831012300585,-3.1757303298626174,176265.7255968625,225788.64037217898,49522.91477531649,0.0,0.0,2.060573134538802,0.1284722222222222,9.111019174840195,3.9864302314472644,2
0.85,30,0.0125,0.012916666666666668,-7.118543345296157,-17.65896297946234,514597.56402639416,537532.1940672514,22934.630040857242,296.23897136107274,1.0,2.800794101227959,0.2309722222222222,14.690390013778261,1.1048373481575546,2
